Blog	water	music	product	general	after	version	started	wrong	pretty	out	comes	ideas	learn	lead	four	course	idea	stop	san	hands	listen	search	word	donald	conference	because	among	took	important	notice	opportunity	twitter	think	across	away	example	value	especially	whole	source	check	final	another	told	mean	far	support	over	nothing	someone	apple	wasn	taking	offer	along	single	having	state	feature	website	taken	continue	times	stuff	results	home	doing	read	need	exactly	bring	say	worked	early	play	than	nbsp	went	world	press	amazing	other	super	enough	until	three	wants	family	come	wanted	marketing	mobile	entire	against	american	got	while	public	actually	why	body	means	create	lost	friends	available	came	watch	simple	work	cost	isn	should	answer	m	off	hit	book	call	happens	pick	place	most	hours	photo	talking	am	she	well	needed	five	black	else	design	following	team	little	open	email	before	event	found	kind	ways	left	party	spent	below	article	today	u	under	million	view	old	decided	others	aren	me	every	level	give	recently	once	car	its	send	personal	add	inside	make	these	technology	though	game	when	research	show	store	number	users	minutes	camera	again	amazon	look	never	use	shot	easy	which	experience	asked	could	message	during	ever	anything	community	real	years	user	feel	too	stories	know	both	popular	people	own	art	project	less	take	similar	did	security	longer	original	young	low	monday	amp	now	change	rather	phone	makes	side	year	talk	business	something	your	anyone	co	couple	week	thousands	social	able	us	everyone	want	must	almost	since	saturday	favorite	created	love	reading	many	remember	tried	his	would	between	company	including	control	working	being	line	com	photos	voice	time	app	day	write	didn	point	earlier	doesn	really	money	simply	different	awesome	then	announced	her	high	only	youtube	re	b	instead	name	several	online	there	ago	words	yet	end	best	service	questions	even	pay	around	down	very	maybe	sure	find	thing	system	worth	big	appeared	up	long	whether	john	companies	like	vote	behind	guy	united	based	local	tools	where	link	everything	always	thanks	major	ll	past	seems	put	saying	part	states	list	stay	group	likely	city	first	late	through	yourself	hear	internet	running	understand	same	web	report	build	video	next	hot	cool	d	starting	features	google	process	via	reports	if	daily	history	question	job	matter	no	large	better	trump	become	still	case	much	learned	happy	posts	such	chance	who	age	microsoft	myself	data	person	fact	things	may	buy	gave	said	does	going	least	update	using	second	see	sometimes	later	good	goes	ask	issues	full	needs	they	had	fun	th	share	network	also	visit	tv	seen	series	hand	space	night	note	save	post	right	great	months	will	tell	track	articles	small	saw	face	into	life	government	two	last	man	involved	some	according	lot	click	building	don	here	few	drive	morning	videos	mind	bit	soon	help	problem	industry	their	finally	yes	hour	so	thought	interesting	those	says	were	done	takes	media	short	services	perhaps	hard	country	human	york	weeks	each	links	making	national	august	key	quickly	coming	turn	him	might	writing	story	gets	e	bad	any	information	let	within	month	blog	them	shows	president	together	x	live	go	house	either	already	top	wrote	keep	future	content	my	deal	recent	looking	try	used	won	called	he	our	get	do	how	computer	piece	probably	order	start	ready	directly	made	clear	latest	news	without	possible	given	move	power	happen	page	changes	run	site	care	half	members	getting	back	events	set	facebook	happened	obama	conversation	ve	please	trying	way	often	days	c	free
Oilman	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	1	1	0	5	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	4	0	2	1	1	4	1	0	0	0	1	0	1	0	0	0	0	0	0	0	3	1	0	0	2	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	1	1	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	2	5	0	0	0	1	0	0	0	1	1	0	2	0	0	0	1	2	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	4	0	0	0	0	2	0	0	1	0	0	0	1	0	0	1	0	0	1	0	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	2	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	1	1	0	0	1	0	0	3	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	4	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	1	0	0	0	1	0	1	0	1	2	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	6	1	0	0	1	0	0	1	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	1	1	0	1	0	0	0	0	2	0	0	1	0	2	0	0
Steve Pavlina	6	0	0	0	1	0	0	0	0	2	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	2	2	0	1	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	2	0	4	0	1	0	0	1	0	6	0	2	0	0	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	1	1	0	0	3	0	2	3	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	21	0	0	3	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	3	0	1	0	0	2	0	1	1	0	0	0	2	33	0	0	0	1	3	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0	2	0	2	0	22	0	0	0	2	0	3	1	1	0	1	1	1	2	0	0	0	1	1	3	0	0	3	2	0	0	0	2	0	2	0	1	0	0	2	0	5	1	1	0	1	0	2	0	0	0	0	2	0	0	0	0	0	3	0	2	0	0	1	0	1	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	20	9	3	0	0	0	4	0	0	0	0	1	0	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	23	0	3	0	0	0	1	0	0	0	0	2	2	3	0	0	2	3	0	0	0	0	0	9	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	2	1	2	0	0	0	0	3	0	0	6	0	1	0	2	0	0	0	0	1	4	0	1	1	2	1	0	0	0	8	2	0	4	1	0	2	0	0	1	0	0	0	0	0	1	20	0	0	0	6	0	0	0	0	0	0	1	4	0	1	5	0	0	7	0	1	0	0	1	2	0	0	0	0	17	2	0	0	0	0	3	0	0	0	9	2	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	2	0	0	0	4	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	1	0	5	1	0	1	0	0	1	0	1	1	1	5	6	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	3	2	0	0	1	0	1	0	0	0	0	0	3	1	0	1	0	0	0	0
ReadWrite	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	10	2	0	0	1	0	0	2	0	0	0	2	0	0	2	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	2	0	3	0	1	0	0	0	0	0	0	1	0	0	1	0	10	3	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	1	0	0	2	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	3	1	2	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	2	0	3	10	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	8	14	0	0	0	0	1	0	0	0	0	3	1	0	2	0	2	1	0	4	4	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	1	1	0	0	1	2	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	5	0	0	0	0	0	0	0	0	2	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	1	0	3	0	0	0	1	0	0	0	0	1	1	0	0	0	2	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
456 Berea Street	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0	2	0	0	1	0	0	0	0	0	0	1	5	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	10	3	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	2	0	0	0	2	0	1	2	0	1	1	0	0	0	0	0	0	2	0	3	0	0	0	1	0	0	0	2	0	0	3	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	7	0	0	1	0	5	3	0	0	0	8	0	1	0	1	1	0	0	0	0	6	1	12	0	1	2	0	0	1	0	0	2	0	0	0	1	0	0	2	0	0	1	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	2	0	1	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	5	0	1	0	0	0	1	0	0	0	2	0	1	0	5	2	0	0	0	1	0	0	4	0	0	4	1	0	1	1	0	0	1	0	0	1	1	0	0	0	3	0	1	0	0	0	0	2	1	1	0	1	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	4	2	0	0	0	0	0	3	0	1	0	0	0	0	7	0	0	0	0	0	5	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	5	0	0	1	5	0	1	0	0	1	3	0	5	0	4	3	0	2	0	0	0	12	2	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	4	0	0	0	5	0	0	0	2	0	0	1	0	0	1	0	0	0	5	1	1	0	0	4	2	0	0	0	0	0	4	0	2	3	0	3	0	0	0	5	3	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	2	1	3	0	0	0	0	0	0	0	0	1	0	1	0	0	4	0	0	0	0	0	2	0	0	0	0	0	1	0	2	1	2	2	1	0	3	3	0	1	0	0	2	2	0	1	0	2	4	4	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	2	0	0	0	1	0	0	3	0	0	0	0	3	0	1	3	2	0	1	0
Techdirt.	0	10	8	4	19	1	3	3	7	42	9	1	1	2	3	11	9	5	0	2	3	12	2	0	0	36	6	2	4	4	5	32	22	3	5	8	11	3	4	9	0	1	16	2	8	4	6	34	9	8	16	1	6	4	3	5	8	3	0	3	3	5	7	7	7	8	22	6	8	3	2	4	1	4	3	37	0	3	13	0	2	36	3	3	2	3	2	2	7	4	2	2	2	13	1	7	24	9	16	11	12	7	7	2	1	4	5	0	2	20	1	6	28	1	3	13	3	0	4	2	1	11	21	1	1	2	2	4	9	2	7	1	4	1	2	4	8	4	27	22	1	14	7	7	2	1	2	2	13	10	13	14	6	6	2	3	8	2	6	9	3	7	2	7	1	55	0	2	3	2	22	38	19	5	0	39	2	6	3	4	19	0	7	13	2	6	10	29	5	1	37	9	3	24	2	6	4	8	6	9	33	7	2	5	1	7	10	2	51	30	0	2	11	21	5	7	12	6	7	0	6	4	0	29	3	12	6	9	5	12	0	8	18	23	6	2	2	15	0	1	9	22	7	23	4	8	9	0	0	9	2	1	19	3	3	40	43	11	12	6	7	3	30	0	15	1	2	21	0	4	1	7	14	5	11	20	23	10	7	3	24	1	13	9	35	2	15	3	5	7	7	7	45	10	3	8	4	3	18	4	33	16	16	14	18	5	9	6	6	7	3	6	3	43	7	4	2	11	24	3	2	2	10	9	2	7	21	4	5	4	4	3	6	14	10	14	4	12	10	6	2	4	6	4	20	0	11	0	1	13	3	3	18	4	5	6	10	5	6	0	7	3	1	8	19	3	4	49	4	2	3	1	4	41	4	9	0	2	19	27	26	2	0	3	16	0	50	1	2	0	27	7	11	8	18	0	2	23	9	12	14	0	19	4	14	2	6	9	5	0	2	6	3	104	17	1	7	4	7	30	1	2	5	2	4	0	2	4	0	11	12	3	5	35	1	4	3	2	2	1	33	2	37	24	16	8	4	38	10	8	0	1	18	16	13	4	1	2	1	4	1	14	7	24	50	4	2	0	45	1	4	22	13	31	9	2	5	1	6	6	1	1	0	0	2	3	0	11	3	4	6	2	3	4	18	8	1	31	8	2	7	33	11	10	3	4	3	32	4	1	2	0	5	10	2	8	5	7	2	9	5	12	2	7	1	5	7	19	10	5	49	24	21	21	33	3	1	9	6	9	0	4	5	3	5	20	15	8	2	7	2	6	2	0	2	18	1	4	2	5	13	0	3	6	3	0	2	27	0	7	19	11	4	4	6
ThinkProgress - Medium	19	0	0	6	28	0	1	0	2	21	2	1	1	8	4	2	5	2	0	3	0	0	0	4	4	18	5	5	6	0	0	10	3	5	4	3	0	0	0	0	1	2	6	17	1	4	2	12	4	1	0	5	3	5	4	0	3	38	0	0	3	3	15	0	3	2	2	14	3	1	1	15	1	6	0	19	10	4	5	5	1	13	0	3	7	6	2	2	7	1	0	0	3	7	10	10	11	5	5	13	7	2	1	2	0	0	7	0	4	11	2	7	8	1	4	6	2	3	1	0	0	7	6	1	6	1	0	58	11	1	3	25	2	1	2	5	2	2	0	7	6	2	10	1	5	5	3	1	0	5	15	4	10	0	8	1	1	5	1	4	2	3	1	1	1	17	0	2	0	0	11	14	2	5	0	18	1	19	0	2	0	0	0	4	0	6	4	5	2	1	22	0	2	13	0	16	8	1	0	2	17	0	0	9	0	7	4	1	37	2	1	0	6	6	2	10	4	3	1	4	3	3	1	12	4	2	0	4	2	18	0	2	1	3	3	1	2	6	2	1	6	11	0	5	4	3	11	5	0	0	1	0	10	0	3	31	23	5	4	1	3	8	4	3	6	0	0	12	0	7	0	8	2	2	3	4	9	6	5	0	12	0	51	8	17	0	6	5	4	4	3	1	27	2	1	4	6	3	1	3	22	3	11	9	6	0	1	2	2	7	0	1	0	25	10	4	2	0	18	10	3	1	10	2	11	0	18	2	1	2	2	1	2	4	1	7	3	8	25	0	6	2	8	14	21	7	6	0	1	2	0	1	5	1	4	2	1	4	3	0	8	3	0	0	1	0	3	65	4	7	3	3	4	17	3	4	59	3	12	3	13	0	0	0	8	2	24	0	0	0	8	7	7	2	6	1	4	45	5	5	7	0	2	2	1	1	1	6	1	3	0	3	5	41	22	0	2	1	3	19	0	1	3	4	5	4	13	1	1	8	3	3	0	18	2	1	1	0	1	1	13	3	6	10	19	6	2	14	4	4	2	0	5	7	7	0	3	0	2	0	2	5	1	1	28	2	2	6	22	1	0	13	8	35	4	0	9	0	2	2	6	9	2	7	6	4	1	0	13	3	2	3	3	3	4	2	1	25	3	7	0	13	1	3	2	12	0	19	4	7	3	12	3	6	1	3	7	4	2	4	0	2	12	2	5	1	2	1	13	11	62	7	12	7	10	3	1	1	4	1	2	0	8	5	3	8	2	3	4	1	3	3	3	1	5	0	2	8	5	0	9	3	6	0	4	7	10	12	0	3	11	2	9	4	3
Boing Boing	1	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	2	2	0	1	2	0	1	5	0	0	1	0	0	0	1	0	0	0	0	5	2	4	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	4	0	0	0	0	3	1	0	0	1	1	2	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	1	0	1	1	1	0	6	0	0	1	2	1	1	0	3	2	4	2	0	0	1	0	0	1	0	1	2	0	3	1	0	3	0	0	1	0	0	0	0	0	2	3	0	0	1	0	1	2	0	2	1	0	2	0	0	0	0	1	0	2	2	0	0	0	1	0	0	1	2	0	1	0	0	0	1	0	0	0	0	1	3	0	3	0	0	1	2	1	0	0	1	0	0	0	0	0	8	0	2	1	1	1	2	2	0	2	1	0	1	0	0	0	0	1	0	1	1	1	0	1	0	1	1	3	1	1	2	0	0	0	0	1	0	4	1	0	0	2	0	3	0	1	3	3	1	0	0	0	0	1	1	0	0	0	6	1	0	3	0	6	0	0	0	2	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	2	0	0	2	0	1	0	1	0	0	0	0	1	2	0	0	1	0	4	1	3	0	5	0	0	2	0	2	0	2	0	0	1	0	1	5	0	0	4	1	3	0	1	0	0	0	1	0	9	2	0	0	0	0	2	1	1	1	1	0	0	1	0	0	0	0	2	0	1	2	0	0	0	2	0	5	0	0	0	0	1	2	0	1	1	0	0	0	0	0	0	0	1	1	0	4	1	0	0	2	0	0	4	2	0	2	0	2	0	2	1	0	0	0	2	3	0	1	0	0	0	0	1	0	0	0	2	0	0	0	2	0	1	1	0	3	0	0	0	1	0	0	0	5	0	1	1	3	0	0	3	1	0	0	1	0	3	0	0	0	2	0	0	0	0	0	1	0	1	3	0	0	0	2	0	1	1	0	0	0	0	0	0	1	2	0	0	1	0	0	1	0	3	2	0	0	7	0	0	0	1	0	1	0	2	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	1	1	0	0
Lifehacker	2	0	0	0	2	1	0	0	0	4	2	1	0	1	2	1	0	1	0	1	0	0	0	0	0	2	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	3	1	25	3	0	2	0	0	1	3	2	0	1	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	3	2	1	2	1	0	0	0	0	0	0	3	1	0	0	0	0	0	2	0	0	0	0	0	1	6	0	0	2	0	0	1	0	1	0	0	0	0	0	5	0	0	1	0	1	0	0	0	1	0	0	0	3	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	1	0	5	3	0	0	0	9	0	0	1	1	1	0	0	3	3	0	1	3	0	2	1	1	0	1	1	1	2	0	0	0	0	0	1	0	0	2	0	5	1	0	0	0	1	0	0	2	0	1	0	0	0	0	0	5	1	0	1	0	0	3	2	0	1	22	0	0	2	0	0	0	0	0	3	5	0	0	0	0	4	0	0	0	0	0	0	1	1	1	0	2	0	1	0	0	0	0	0	6	3	1	0	0	0	1	0	1	1	0	1	0	1	1	1	3	1	0	6	0	1	0	2	0	2	0	0	1	0	4	0	0	0	0	1	2	0	1	0	4	1	2	0	2	0	4	1	0	0	0	2	0	0	0	0	2	1	0	0	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	1	0	0	2	2	3	1	0	0	1	0	4	1	0	0	8	1	0	0	0	0	4	1	1	2	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	3	0	0	1	0	3	1	0	4	1	0	0	0	0	0	3	0	0	2	1	2	0	5	0	1	2	0	5	4	2	2	0	0	1	0	0	2	0	0	0	1	0	0	5	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	4	0	0	1	0	0	2	0	0	0	0	0	4	0	0	4	0	0	0	2	0	1	1	3	1	4	2	4	1	2	2	1	0	0	1	0	0	0	1	0	0	0	2	0	0	1	0	0	1	0	0	0	0	5	0	0	0	0	2	0	1	0	1	3	0	0	0	0
blog maverick	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	3	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	4	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	2	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	3	1	0	1	1	1	0	0	2	0	1	0	4	1	1	1	1	0	0	0	0	1	0	0	0	0	0	4	0	1	0	0	0	0	0	3	0	0	6	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	2	1	0	0	0	2	1	0	4	0	0	2	0	0	1	4	0	0	1	2	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	2	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	2	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	3	0	0	0	0	2	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	3	1	4	1	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Google Blogoscoped	0	0	0	1	0	0	0	1	0	2	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	5	0	1	0	2	0	0	0	2	0	0	0	1	0	4	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	2	1	0	0	1	1	1	1	2	2	2	0	0	0	0	0	0	1	0	1	1	1	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	3	0	1	2	1	0	0	0	1	1	0	1	0	3	2	0	1	0	0	2	1	2	3	0	1	0	1	0	2	1	3	0	2	1	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	2	0	0	1	1	4	1	0	0	0	1	1	1	0	0	3	0	3	1	1	3	2	4	0	1	2	5	0	0	0	0	0	1	1	3	0	1	5	0	1	1	0	0	0	0	0	0	1	2	1	2	0	2	2	0	3	0	0	0	1	1	2	1	0	1	0	0	0	0	0	4	1	0	4	1	1	0	0	0	2	8	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	1	0	0	0	1	11	0	0	0	0	2	0	0	0	0	0	4	4	3	0	0	0	0	0	0	0	0	2	0	3	0	0	0	2	0	5	4	0	2	1	1	5	1	0	1	0	4	6	2	4	0	2	1	1	1	0	3	1	0	0	0	0	3	1	1	0	0	6	1	0	0	0	1	0	0	1	1	0	2	1	0	6	2	0	1	0	0	0	1	0	7	1	0	2	0	1	1	1	0	0	0	1	4	0	0	0	1	0	0	2	0	0	28	2	2	0	8	0	1	4	0	1	6	0	0	0	0	0	1	4	0	0	1	0	0	5	0	0	0	0	0	0	1	1	0	1	2	0	2	0	0	4	1	4	0	2	0	1	0	0	2	0	7	3	1	0	0	0	2	0	0	0	0	1	0	0	1	0	2	1	0	0	1	0	0	0	1	1	0	3	0	0	3	0	0	0	3	0	0	2	0	4	2	1	0	0	0	0	0	0	0	0	0	4	0	0	0	7	0	0	3	1	1	0	0	0	0	1	2	0	0	0	0	0	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	2	0	0	1	4	0	0	1	1	1	1	0	0	1	1	0	0	1	0	7	0	0	0	0	2	0	1	2	3	5	3	5	0	0	2	0	1	0	0	2	0	0	1	0	1	0	0	0	0	0	1	1	4	0	0	1	0	3	0	1	0	0	0	0	4	0	0	1	1	0	0	2
